2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.638 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.638 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
